booktitle,year,pages,author,title,ee,abstract
FOCS,2017,1-12,"Mark Bun, Justin Thaler",A Nearly Optimal Lower Bound on the Approximate Degree of AC0.,https://doi.org/10.1109/FOCS.2017.10,"The approximate degree of a Boolean function f : {-1, 1} n → {-1, 1} is the least degree of a real polynomial that approximates f pointwise to error at most 1/3. We introduce a generic method for increasing the approximate degree of a given function, while preserving its computability by constant-depth circuits. Specifically, we show how to transform any Boolean function f with approximate degree d into a function F on O(n · polylog(n)) variables with approximate degree at least D = Ω(n 1/3 · d 2/3 ). In particular, if d = n 1-Ω(1) , then D is polynomially larger than d. Moreover, if f is computed by a constant-depth polynomial-size Boolean circuit, then so is F. By recursively applying our transformation, for any constant δ > 0 we exhibit an AC 0 function of approximate degree Ω(n 1-δ ). This improves over the best previous lower bound of Ω(n 2/3 ) due to Aaronson and Shi (J. ACM 2004), and nearly matches the trivial upper bound of n that holds for any function. Our lower bounds also apply to (quasipolynomial-size) DNFs of polylogarithmic width. We describe several applications of these results. We give: · For any constant δ > 0, an Ω(n 1-δ ) lower bound on the quantum communication complexity of a function in AC 0 . · A Boolean function f with approximate degree at least C(f) 2-o(1) , where C(f) is the certificate complexity of f. This separation is optimal up to the o(1) term in the exponent. · Improved secret sharing schemes with reconstruction procedures in AC 0 ."
FOCS,2017,13-24,"Huck Bennett, Alexander Golovnev, Noah Stephens-Davidowitz",On the Quantitative Hardness of CVP.,https://doi.org/10.1109/FOCS.2017.11,"For odd integers p ≥ 1 (and p = ∞), we show that the Closest Vector Problem in the ? p norm (CVP p ) over rank n lattices cannot be solved in 2 (1-ε)n time for any constant ε > 0 unless the Strong Exponential Time Hypothesis (SETH) fails. We then extend this result to “almost all” values of p ≥ 1, not including the even integers. This comes tantalizingly close to settling the quantitative time complexity of the important special case of CVP 2 (i.e., CVP in the Euclidean norm), for which a 2 n+o(n) -time algorithm is known. In particular, our result applies for any p = p(n) ≠ 2 that approaches 2 as n → ∞. We also show a similar SETH-hardness result for SVP ∞ ; hardness of approximating CVP p to within some constant factor under the so-called Gap-ETH assumption; and other hardness results for CVP p and CVPP p for any 1 ≤ p <; ∞ under different assumptions."
FOCS,2017,25-36,"Amir Abboud, Aviad Rubinstein, R. Ryan Williams",Distributed PCP Theorems for Hardness of Approximation in P.,https://doi.org/10.1109/FOCS.2017.12,"We present a new distributed model of probabilistically checkable proofs (PCP). A satisfying assignment x ∈ {0, 1} n to a CNF formula φ is shared between two parties, where Alice knows x 1 , ... , x n/2 , Bob knows x n/2+1 , . . . , xn, and both parties know φ. The goal is to have Alice and Bob jointly write a PCP that x satisfies φ, while exchanging little or no information. Unfortunately, this model as-is does not allow for nontrivial query complexity. Instead, we focus on a non-deterministic variant, where the players are helped by Merlin, a third party who knows all of x. Using our framework, we obtain, for the first time, PCP-like reductions from the Strong Exponential Time Hypothesis (SETH) to approximation problems in P. In particular, under SETH we show that there are no trulysubquadratic approximation algorithms for Maximum Inner Product over {0, 1}-vectors, LCS Closest Pair over permutations, Approximate Partial Match, Approximate Regular Expression Matching, and Diameter in Product Metric. All our inapproximability factors are nearly-tight. In particular, for the first three problems we obtain nearly-polynomial factors of 2 (log n) 1-o(1) ; only (1+o(1))-factor lower bounds (under SETH) were known before. As an additional feature of our reduction, we obtain new SETH lower bounds for the exact “monochromatic” Closest Pair problem in the Euclidean, Manhattan, and Hamming metrics."
FOCS,2017,37-48,"Danny Nguyen, Igor Pak",Short Presburger Arithmetic Is Hard.,https://doi.org/10.1109/FOCS.2017.13,"We study the computational complexity of short sentences in Presburger arithmetic (Short-PA). Here by “short” we mean sentences with a bounded number of variables, quantifiers, inequalities, and Boolean operations; the input consists only of the integer coefficients involved in the linear inequalities.  We prove that satisfiability of Short-PA sentences with  alternating quantifiers is -complete or -complete when the first quantifier is  or , respectively.  Counting versions and restricted systems are also analyzed.  Further applications are given to hardness of two natural problems in integer optimization."
FOCS,2017,49-60,"Vincent Cohen-Addad, Chris Schwiegelshohn",On the Local Structure of Stable Clustering Instances.,https://doi.org/10.1109/FOCS.2017.14,"We study the classic k-median and k-means clustering objectives in the beyond-worst-case scenario. We consider three well-studied notions of structured data that aim at characterizing real-world inputs: Distribution Stability (introduced by Awasthi, Blum, and Sheffet, FOCS 2010); Spectral Separability (introduced by Kumar and Kannan, FOCS 2010); Perturbation Resilience (introduced by Bilu and Linial, ICS 2010). We prove structural results showing that inputs satisfying at least one of the conditions are inherently local. Namely, for any such input, any local optimum is close both in term of structure and in term of objective value to the global optima. As a corollary we obtain that the widely-used Local Search algorithm has strong performance guarantees for both the tasks of recovering the underlying optimal clustering and obtaining a clustering of small cost. This is a significant step toward understanding the success of local search heuristics in clustering applications."
FOCS,2017,61-72,"Sara Ahmadian, Ashkan Norouzi-Fard, Ola Svensson, Justin Ward",Better Guarantees for k-Means and Euclidean k-Median by Primal-Dual Algorithms.,https://doi.org/10.1109/FOCS.2017.15,"Clustering is a classic topic in optimization with -means being one of the most fundamental such problems. In the absence of any restrictions on the input, the best-known algorithm for -means in Euclidean space with a provable guarantee is a simple local search heuristic yielding an approximation guarantee of , a ratio that  is known to be tight with respect to such methods. We  overcome this barrier by presenting a new primal-dual approach that allows us to (1) exploit the geometric structure of -means and (2) satisfy the hard constraint that at most  clusters are selected without deteriorating the approximation guarantee. Our main result is a 6.357-approximation algorithm with respect to the  standard linear programming (LP) relaxation. Our techniques are quite general, and we also show improved guarantees for -median in Euclidean metrics and for a generalization of -means in which the underlying metric is not required to be Euclidean."
FOCS,2017,73-84,"Ilias Diakonikolas, Daniel M. Kane, Alistair Stewart",Statistical Query Lower Bounds for Robust Estimation of High-Dimensional Gaussians and Gaussian Mixtures.,https://doi.org/10.1109/FOCS.2017.16,"We describe a general technique that yields the first Statistical Query lower bounds for a range of fundamental high-dimensional learning problems involving Gaussian distributions. Our main results are for the problems of (1) learning Gaussian mixture models (GMMs), and (2) robust (agnostic) learning of a single unknown Gaussian distribution. For each of these problems, we show a super-polynomial gap between the (information-theoretic) sample complexity and the computational complexity of any Statistical Query algorithm for the problem. Statistical Query (SQ) algorithms are a class of algorithms that are only allowed to query expectations of functions of the distribution rather than directly access samples. This class of algorithms is quite broad: a wide range of known algorithmic techniques in machine learning are known to be implementable using SQs. Moreover, for the unsupervised learning problems studied in this paper, all known algorithms with non-trivial performance guarantees are SQ or are easily implementable using SQs. Our SQ lower bound for Problem (1) is qualitatively matched by known learning algorithms for GMMs. At a conceptual level, this result implies that - as far as SQ algorithms are concerned - the computational complexity of learning GMMs is inherently exponential in the dimension of the latent space - even though there is no such information-theoretic barrier. Our lower bound for Problem (2) implies that the accuracy of the robust learning algorithm in [29] is essentially best possible among all polynomial-time SQ algorithms. On the positive side, we also give a new (SQ) learning algorithm for Problem (2) achieving the information-theoretically optimal accuracy, up to a constant factor, whose running time essentially matches our lower bound. Our algorithm relies on a filtering technique generalizing [29] that removes outliers based on higher-order tensors. Our SQ lower bounds are attained via a unified moment-matching technique that is useful in other contexts and may be of broader interest. Our technique yields nearly-tight lower bounds for a number of related unsupervised estimation problems. Specifically, for the problems of (3) robust covariance estimation in spectral norm, and (4) robust sparse mean estimation, we establish a quadratic statistical- computational tradeoff for SQ algorithms, matching known upper bounds. Finally, our technique can be used to obtain tight sample complexity lower bounds for high-dimensional testing problems. Specifically, for the classical problem of robustly testing an unknown mean (known covariance) Gaussian, our technique implies an information-theoretic sample lower bound that scales linearly in the dimension. Our sample lower bound matches the sample complexity of the corresponding robust learning problem and separates the sample complexity of robust testing from standard (non-robust) testing. This separation is surprising because such a gap does not exist for the corresponding learning problem."
FOCS,2017,85-96,"Oded Regev 0001, Aravindan Vijayaraghavan",On Learning Mixtures of Well-Separated Gaussians.,https://doi.org/10.1109/FOCS.2017.17,"We consider the problem of efficiently learning mixtures of a large number of spherical Gaussians, when the components of the mixture are well separated. In the most basic form of this problem, we are given samples from a uniform mixture of k standard spherical Gaussians with means μ 1 , . . . , μ k  ∈ ? d , and the goal is to estimate the means up to accuracy δ using poly(k, d, 1/δ) samples. In this work, we study the following question: what is the minimum separation needed between the means for solving this task? The best known algorithm due to Vempala and Wang [JCSS 2004] requires a separation of roughly min{k, d}1/4. On the other hand, Moitra and Valiant [FOCS 2010] showed that with separation o(1), exponentially many samples are required. We address the significant gap between these two bounds, by showing the following results.; We show that with separation o(√(log k)), superpolynomially many samples are required. In fact, this holds even when the k means of the Gaussians are picked at random in d = O(log k) dimensions.; We show that with separation Ω(√(log k)), picked at random in d = O(log k) dimensions. poly(k, d, 1/δ) samples suffice. Notice that the bound on the separation is independent of δ. This result is based on a new and efficient “accuracy boosting” algorithm that takes as input coarse estimates of the true means and in time (and samples) poly(k, d, 1/δ) outputs estimates of the means up to arbitrarily good accuracy δ assuming the separation between the means is Ω(min{√(log k), √d}) (independently of δ). The idea of the algorithm is to iteratively solve a “diagonally dominant” system of non-linear equations. We also (1) present a computationally efficient algorithm in d = O(1) dimensions with only Ω(√d) separation, and (2) extend our results to the case that components might have different weights and variances. These results together essentially characterize the optimal order of separation between components that is needed to learn a mixture of k spherical Gaussians with polynomial samples."
FOCS,2017,97-108,Johan H?stad,On Small-Depth Frege Proofs for Tseitin for Grids.,https://doi.org/10.1109/FOCS.2017.18,We prove that a small-depth Frege refutation of the Tseitin contradiction on the grid requires subexponential size. We conclude that polynomial size Frege refutations of the Tseitin contradiction must use formulas of almost logarithmic depth.
FOCS,2017,109-120,"Noah Fleming, Denis Pankratov, Toniann Pitassi, Robert Robere",Random Θ(log n)-CNFs Are Hard for Cutting Planes.,https://doi.org/10.1109/FOCS.2017.19,"The random k-SAT model is the most important and well-studied distribution over k-SAT instances. It is closely connected to statistical physics and is a benchmark for satisfiability algorithms. We show that when k = Θ(log n), any Cutting Planes refutation for random k-SAT requires exponential size in the interesting regime where the number of clauses guarantees that the formula is unsatisfiable with high probability."
