booktitle,year,pages,author,title,ee,abstract
FOCS,2014,1-10,"Per Austrin, Johan H?stad, Venkatesan Guruswami",(2 + epsilon)-Sat Is NP-Hard.,https://doi.org/10.1109/FOCS.2014.9,"We prove the following hardness result for a natural promise variant of the classical CNF-satisfiability problem: Given a CNF-formula where each clause has width  and the guarantee that there exists an assignment satisfying at least  literals in each clause, it is NP-hard to find a satisfying assignment to the formula (that sets at least one literal to true in each clause). On the other hand, when , it is easy to find a satisfying assignment via simple generalizations of the algorithms for 2-Sat. Viewing 2-Sat  as tractability of Sat when 1 in 2 literals are true in every clause, and NP-hardness of 3-Sat as intractability of Sat when 1 in 3 literals are true, our result shows, for any fixed , the difficulty of finding a satisfying assignment to instances of “-Sat” where the density of satisfied literals in each clause is guaranteed to exceed . We also strengthen the results to prove that, given a (2k+1)-uniform hypergraph that can be 2-colored such that each edge has perfect balance (at most k+1 vertices of either color), it is NP-hard to find a 2-coloring that avoids a monochromatic edge. In other words, a set system with discrepancy 1 is hard to distinguish from a set system with worst possible discrepancy. Finally, we prove a general result showing the intractability of promise constraint satisfaction problems based on the paucity of certain “weak polymorphisms.” The core of the above hardness results is the claim that the only weak polymorphisms in these particular cases are juntas depending on few variables."
FOCS,2014,11-20,"Constantinos Daskalakis, Qinxuan Pan",A Counter-example to Karlin's Strong Conjecture for Fictitious Play.,https://doi.org/10.1109/FOCS.2014.10,"Fictitious play is a natural dynamic for equilibrium play in zero-sum games, proposed by Brown [6], and shown to converge by Robinson [33]. Samuel Karlin conjectured in 1959 that fictitious play converges at rate O(t -1/2 ) with respect to the number of steps t. We disprove this conjecture by showing that, when the payoff matrix of the row player is the n × n identity matrix, fictitious play may converge (for some tie-breaking) at rate as slow as Ω(t -1/n )."
FOCS,2014,21-30,"Moshe Babaioff, Nicole Immorlica, Brendan Lucier, S. Matthew Weinberg",A Simple and Approximately Optimal Mechanism for an Additive Buyer.,https://doi.org/10.1109/FOCS.2014.11,"We consider a monopolist seller with n heterogeneous items, facing a single buyer. The buyer has a value for each item drawn independently according to (non-identical) distributions, and her value for a set of items is additive. The seller aims to maximize his revenue. We suggest using the a priori better of two simple pricing methods: selling the items separately, each at its optimal price, and bundling together, in which the entire set of items is sold as one bundle at its optimal price. We show that for any distribution, this mechanism achieves a constant-factor approximation to the optimal revenue. Beyond its simplicity, this is the first computationally tractable mechanism to obtain a constant-factor approximation for this multi-parameter problem. We additionally discuss extensions to multiple buyers and to valuations that are correlated across items."
FOCS,2014,31-40,"Umang Bhaskar, Katrina Ligett, Leonard J. Schulman, Chaitanya Swamy",Achieving Target Equilibria in Network Routing Games without Knowing the Latency Functions.,https://doi.org/10.1109/FOCS.2014.12,"The analysis of network routing games typically assumes, right at the onset, precise and detailed information about the latency functions. Such information may, however, be unavailable or difficult to obtain. Moreover, one is often primarily interested in enforcing a desirable target flow as the equilibrium by suitably influencing player behavior in the routing game. We ask whether one can achieve target flows as equilibria without knowing the underlying latency functions. Our main result gives a crisp positive answer to this question. We show that, under fairly general settings, one can efficiently compute edge tolls that induce a given target multicommodity flow in a nonatomic routing game using a polynomial number of queries to an oracle that takes candidate tolls as input and returns the resulting equilibrium flow. This result is obtained via a novel application of the ellipsoid method, and applies to arbitrary multicommodity settings and non-linear latency functions. Our algorithm extends easily to many other settings, such as (i) when certain edges cannot be tolled or there is an upper bound on the total toll paid by a user, and (ii) general nonatomic congestion games. We obtain tighter bounds on the query complexity for series-parallel networks, and single-commodity routing games with linear latency functions, and complement these with a query-complexity lower bound applicable even to single-commodity routing games on parallel-link graphs with linear latency functions. We also explore the use of Stackelberg routing to achieve target equilibria and obtain strong positive results for series-parallel graphs. Our results build upon various new techniques that we develop pertaining to the computation of, and connections between, different notions of approximate equilibrium, properties of multicommodity flows and tolls in series-parallel graphs, and sensitivity of equilibrium flow with respect to tolls. Our results demonstrate that one can indeed circumvent the potentially-onerous task of modeling latency functions, and yet obtain meaningful results for the underlying routing game."
FOCS,2014,41-50,"Vipul Goyal, Silas Richelson, Alon Rosen, Margarita Vald",An Algebraic Approach to Non-malleability.,https://doi.org/10.1109/FOCS.2014.13,"In their seminal work on non-malleable cryptography, Dolev, Dwork and Naor, showed how to construct a non-malleable commitment with logarithmically-many ""rounds""/""slots"", the idea being that any adversary may successfully maul in some slots but would fail in at least one. Since then new ideas have been introduced, ultimately resulting in constant-round protocols based on any one-way function. Yet, in spite of this remarkable progress, each of the known constructions of non-malleable commitments leaves something to be desired. In this paper we propose a new technique that allows us to construct a non-malleable protocol with only a single ""slot"", and to improve in at least one aspect over each of the previously proposed protocols. Two direct byproducts of our new ideas are a four round non-malleable commitment and a four round non-malleable zero-knowledge argument, the latter matching the round complexity of the best known zero-knowledge argument (without the non-malleability requirement). The protocols are based on the existence of one-way functions and admit very efficient instantiations via standard homomorphic commitments and sigma protocols. Our analysis relies on algebraic reasoning, and makes use of error correcting codes in order to ensure that committers' tags differ in many coordinates. One way of viewing our construction is as a method for combining many atomic sub-protocols in a way that simultaneously amplifies soundness and non-malleability, thus requiring much weaker guarantees to begin with, and resulting in a protocol which is much trimmer in complexity compared to the existing ones."
FOCS,2014,51-60,"Gregory Valiant, Paul Valiant",An Automatic Inequality Prover and Instance Optimal Identity Testing.,https://doi.org/10.1109/FOCS.2014.14,"We consider the problem of verifying the identity of a distribution: Given the description of a distribution over a discrete finite or countably infinite support, , how many samples (independent draws) must one obtain from an unknown distribution, , to distinguish, with high probability, the case that  from the case that the total variation distance ( distance) ?  We resolve this question, up to constant factors, on an instance by instance basis: there exist universal constants  and a function  on the known distribution  and error parameter , such that our tester distinguishes  from  using  samples with success probability , but no tester can distinguish  from  when given  samples.  The function  is upper-bounded by a multiple of  but is more complicated.  This result generalizes and tightens previous results: since distributions of support at most  have  norm bounded by  this result immediately shows that for such distributions,  samples suffice, tightening the previous bound of  and matching the (tight) results for the case that  is      the uniform distribution of support . The analysis of our very simple testing algorithm involves several hairy inequalities.  To facilitate this analysis, we give a complete characterization of a general class of inequalities---generalizing Cauchy--Schwarz, Ho?lder's inequality, and the monotonicity of  norms.   Specifically, we characterize the set of sequences of triples  for which it holds that for all finite sequences of positive numbers  and   For example, the standard Cauchy--Schwarz inequality corresponds to the triples   .  Our characterization is constructive and algorithmic, leveraging linear programming to prove or refute an inequality, which would otherwise have to be investigated, through trial and error, by hand.  We hope the computational nature of our characterization will be useful to others and facilitate analyses like the one here."
FOCS,2014,61-70,"Neeraj Kayal, Nutan Limaye, Chandan Saha 0001, Srikanth Srinivasan 0001",An Exponential Lower Bound for Homogeneous Depth Four Arithmetic Formulas.,https://doi.org/10.1109/FOCS.2014.15,"We show here a 2Ω(√d ? log N) size lower bound for homogeneous depth four arithmetic formulas. That is, we give an explicit family of polynomials of degree d on N variables (with N = d3 in our case) with 0, 1-coefficients such that for any representation of a polynomial f in this family of the form f = Σi ∏j Qij, where the Qij's are homogeneous polynomials (recall that a polynomial is said to be homogeneous if all its monomials have the same degree), it must hold that ∑i, j (Number of monomials of Qij)) ≥2Ω(√d ?log N). The above mentioned family, which we refer to as the Nisan-Wigderson design-based family of polynomials, is in the complexity class VNP. Our work builds on recent lower bound results [1], [2], [3], [4], [5] and yields an improved quantitative bound as compared to the quasi-polynomial lower bound from an earlier work of the same authors and the NΩ(log log N) lower bound in the independent work of [7]."
FOCS,2014,71-80,Tim Roughgarden,Barriers to Near-Optimal Equilibria.,https://doi.org/10.1109/FOCS.2014.16,"This paper explains when and how communication and computational lower bounds for algorithms for an optimization problem translate to lower bounds on the worst-case quality of equilibria in games derived from the problem. We give three families of lower bounds on the quality of equilibria, each motivated by a different set of problems: congestion, scheduling, and distributed welfare games, welfare-maximization in combinatorial auctions with ""black-box"" bidder valuations, and welfare-maximization in combinatorial auctions with succinctly described valuations. The most straightforward use of our lower bound framework is to harness an existing computational or communication lower bound to derive a lower bound on the worst-case price of anarchy (POA) in a class of games. This is a new approach to POA lower bounds, which relies on reductions in lieu of explicit constructions. More generally, the POA lower bounds implied by our framework apply to all classes of games that share the same underlying optimization problem, independent of the details of players' utility functions. For this reason, our lower bounds are particularly significant for problems of game design -- ranging from the design of simple combinatorial auctions to the computation of tolls for routing networks -- where the goal is to design a game that has only near-optimal equilibria. For example, our results imply that the simultaneous first-price auction format is optimal among all ""simple combinatorial auctions"" in several settings."
FOCS,2014,81-89,"Itai Benjamini, Gil Cohen, Igor Shinkar",Bi-Lipschitz Bijection between the Boolean Cube and the Hamming Ball.,https://doi.org/10.1109/FOCS.2014.17,"We construct a bi-Lipschitz bijection from the Boolean cube to the Hamming ball of equal volume. More precisely, we show that for all even n ∈ N there exists an explicit bijection ψ: {0, 1} n  → {x ∈ {0, 1} n+1 : |x| > n/2} such that for every x ≠ y ∈ {0, 1} n ,  where distance(·, ·) denotes the Hamming distance. In particular, this implies that the Hamming ball is bi-Lipschitz transitive. This result gives a strong negative answer to an open problem of Lovett and Viola (2012), who raised the question in the context of sampling distributions in low-level complexity classes. The conceptual implication is that the problem of proving lower bounds in the context of sampling distributions requires ideas beyond the sensitivity-based structural results of Boppana (1997). We study the mapping ψ further and show that it (and its inverse) are computable in DLOGTIME-uniform TC0, but not in AC0. Moreover, we prove that ψ is “approximately local” in the sense that all but the last output bit of ψ are essentially determined by a single input bit."
FOCS,2014,90-99,"Leonid Gurvits, Alex Samorodnitsky",Bounds on the Permanent and Some Applications.,https://doi.org/10.1109/FOCS.2014.18,"We give new lower and upper bounds on the permanent of a doubly stochastic matrix. Combined with previous work, this improves on the deterministic approximation factor. We also give a combinatorial application of the lower bound, proving S. Friedland's ""Asymptotic Lower Matching Conjecture""for the monomer-dimer problem."
